sku;custo;imposto;observacao
SFBENY140_CORINOPRETO;580,00;7%;renomeado de SOFABENY-CORINOPRETO140 (padrao SKU do Daniel) - 04/09/2026
SFBENY140_LINHOAZUL;580,00;7%;renomeado de SOFABENY-LINHOAZUL140 (padrao SKU do Daniel) - 04/09/2026
SFBENY140_LINHOBEGE;580,00;7%;renomeado de SOFABENY-BEGE140 (padrao SKU do Daniel) - 04/09/2026
SFBENY140_LINHOCINZA;580,00;7%;renomeado de SOFABENY-CINZA140 (padrao SKU do Daniel) - 04/09/2026
SFBENY140_LINHOVERDE;580,00;7%;renomeado de SOFABENY-LINHOVERDE140 (padrao SKU do Daniel) - 04/09/2026
SFBENY180_CORINOPRETO;610,00;7%;renomeado de SOFABENY-CORINOPRETO180 (padrao SKU do Daniel) - 04/09/2026
SFBENY180_LINHOBEGE;610,00;7%;renomeado de SOFABENY-BEGE180 (padrao SKU do Daniel) - 04/09/2026
SFBENY180_LINHOCINZA;610,00;7%;renomeado de SOFABENY-CINZA180 (padrao SKU do Daniel) - 04/09/2026
SFMILAO140_CORINOCARAMELO;500,00;7%;renomeado de SOFAMILAO-CARAMELO140 (padrao SKU do Daniel) - 04/09/2026
SFMILAO140_CORINOPRETO;500,00;7%;renomeado de SOFAMILAO-PRETO140 (padrao SKU do Daniel) - 04/09/2026
SFMILAO180_CORINOCARAMELO;700,00;7%;renomeado de SOFAMILAO-CARAMELO180 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOBEGE;762,00;7%;renomeado de SOFAYARA-BEGE180 (padrao SKU do Daniel) - 04/09/2026
SFYARA140_VELUDOCINZA;650,00;7%;renomeado de SOFAYARAFORNEC-CINZA140 (padrao SKU do Daniel) - 04/09/2026
SFYARA140_VELUDOMARROM;650,00;7%;renomeado de SOFAYARAFORNEC-MARROM140 (padrao SKU do Daniel) - 04/09/2026
SFYARA140_VELUDOBEGE;650,00;7%;renomeado de SOFAYARAFORNEC-BEGE140 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOAZUL;762,00;7%;renomeado de SOFAYARA-AZUL180 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOMARROM;762,00;7%;renomeado de SOFAYARA-MARROM180 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOPRETO;762,00;7%;renomeado de SOFAYARA-PRETO180 (padrao SKU do Daniel) - 04/09/2026
SFYARA180_VELUDOTERRACOTA;762,00;7%;renomeado de SOFAYARA-TERRACOTA180 (padrao SKU do Daniel) - 04/09/2026
KIT2POLTMONA_LINHOBEGE;680,00;7%;renomeado de KIT2CADEIRASMONA-BEGE (padrao SKU do Daniel) - 04/09/2026
KIT2POLTMONA_LINHOCINZA;680,00;7%;renomeado de KIT2CADEIRAMONA-CINZA (padrao SKU do Daniel) - 04/09/2026
KIT2POLTMONA_CORINOCARAMELO;680,00;7%;renomeado de KIT2POLTRONASMONACORINO-CARAMELO (padrao SKU do Daniel) - 06/09/2026
ESCMEGA4153_AZUL;192,00;7%;renomeado de ESCME4153AZUL (padrao SKU do Daniel) - 06/09/2026
ESCMEGA4153_VERM;192,00;7%;renomeado de ESCME4153VERM (padrao SKU do Daniel) - 06/09/2026
