sku;item_id;titulo;status;preco;estoque;custo;imposto
SFBENY140_CORINO_PRETO;MLB4814268629;Sofá Beny 140cm Estofado Confortável Madeira Forte Sala C/ Almofada De Brinde Estar Moderno Hall Corino Preto Liso;active;1499.9;9999;580,00;7,0%
MSCADEESCRITOPRETO;MLB4868078785;Cadeira Home Office Escritório Presidencial Diretor Ergonômica Reclinável C/ Regulagem Resistente Preto Espuma;paused;475.99;9995;160,00;7,0%
POLTMONA_LINHOCINZA;MLB4875060891;Poltrona Mona Luxo Madeira Maciça Tecido Linho Cinza;active;805.99;9996;340,00;7,0%
SFBENY140_LINHO_AZUL;MLB4907962245;Sofá Estofado Moderno Para Sala Confortável Com Estrutura E Pés De Madeira Azul Linho Premium Liso;active;1319.9;9998;580,00;7,0%
SOFABENY-LINHOAZUL140;MLB4907966309;Sofá Beny Linho Premium Azul Futon Recepção Decorativo Moderno Forte Azul Liso 140cm Confortável Facil Limpeza;under_review;1399.9;9998;580,00;7,0%
SFBENY140_LINHO_AZUL;MLB4908225281;Sofá Beny Linho Azul Futon Recepção Decorativo Moderno Leve Azul Liso;active;1399.9;9998;580,00;7,0%
SFMOBLY180_AZUL;MLB4936908031;Sofá Cama Futon Barbearia Recepção Decorativo Moderno Leve Sala Tv Espera Hall Restaurante 180cm Azul Capitonê;active;1644.99;9999;;
SFBENY180_LINHO_BEGE;MLB4937160113;Sofá Beny Barbearia Recepção Decorativo Moderno Bege Claro Bege Liso;active;1499.0;9997;610,00;7,0%
ESCME4153VERM;MLB4949313371;Maxi Do Brasil Escrivaninha Games Mdf Preto/vermelho;active;567.99;53;192,00;7,0%
SFMOBLY180_BEGE;MLB4954153121;Sofá Cama Retrátil Reclinável Sala Espera Tv Moderno Macio Bege Capitonê;active;1526.99;9999;;
SFMOBLY180_MARROM;MLB4954162579;Sofá Cama Retrátil Reclinável Sala Espera Tv Moderno Macio Marrom Capitonê;active;1526.99;9999;;
POLTBENY_LINHOPRETO;MLB4969935201;Poltrona Beny Linho Preto Conforto Premium Quadrada Forte Preto Liso;active;899.0;10000;350,00;7,0%
7891451620922;MLB5143971031;Escrivaninha Mesa Gamer Para Computador Pc Dois Andares Com Espaço Com Monitores E Cpu Escritório, Quarto Espaçoso Cor Azul Preto/azul;under_review;600.9;1;;
POLTBENY_LINHOCINZA;MLB5145527375;Poltrona Beny Quadrada Estofada 1 Lugar Com Estrutura E Base De Madeira Para Sala Quarto Recepção Confortável Moderna Cinza Linho;active;717.99;10000;350,00;7,0%
POLTBENY_LINHOBEGE;MLB5145856505;Poltrona Beny Salão Beleza Barbearia Escritório Recepção Tv Bege Liso;active;899.0;10000;350,00;7,0%
POLTNEWMONA;MLB5146657169;Poltrona Facilita Brasil New Mona 63cm Pes De Madeira Sala Bege;paused;599.99;10000;340,00;7,0%
SOFAMILAO-PRETO180;MLB5146930395;Sofa Facilita Brasil Milao 1,80m Corino Preto Pes Madeira Preto Liso;paused;985.92;10000;700,00;7,0%
SOFANUVEM-BEGE;MLB5147812017;Sofá Namoradeira 2 Lugares 1,45m Nuvem Almofadas Soltas Bege Liso;paused;964.03;50;550,00;7,0%
SOFANUVEM-CINZA;MLB5147824403;Sofá Namoradeira 2 Lugares 1,45m Nuvem Almofadas Soltas Cinza Liso;paused;964.03;50;550,00;7,0%
POLTRONAEROS-PRETA;MLB5147830171;Poltrona Do Papai Reclinável Preta Porta Copo Bolso Eros Preta Liso;paused;863.31;50;480,00;7,0%
PUFFGRECIA-PRETO;MLB5149767791;Facilita Brasil Poltrona Moderna Estofado Preto;active;808.31;10000;340,00;7,0%
POLTRONAEROS-CAFE;MLB5150810907;Poltrona Do Papai Reclinável Preta Porta Copo Bolso Eros Café Liso;paused;863.31;1000;480,00;7,0%
POLTRONAEROS-CARAMELO;MLB5150810909;Poltrona Do Papai Reclinável Preta Porta Copo Bolso Eros Caramelo Liso;paused;863.31;1000;480,00;7,0%
SOFAMILAO-CARAMELO180;MLB5150866369;Sofa Facilita Brasil Milao 1,80m Corino Preto Pes Madeira Caramelo Liso;paused;985.92;1000;700,00;7,0%
POLTMANU_LINHO_CINZA;MLB5151073857;Poltrona Elegance Estofado Tecido Macio Confortável Puff Cinza Liso;active;940.0;1000;;
POLTMANU_LINHO_BEGE;MLB5151073859;Poltrona Elegance Estofado Tecido Macio Confortável Puff Bege Liso;active;940.0;1000;;
POLTGRECIA_LINHOCINZA;MLB5163210353;Puff Grecia Estofado Conforto Redondo Sala Estar Escritório Recepção Hall Cinza Brim Linho;paused;478.87;10000;340,00;7,0%
PUFFGRECIA-PRETO;MLB5163245965;Puff Redondo Estofado Grecia Conforto Tecido Brim Sala Tv Salão De Beleza Compacto Elegante Leve Salão De Beleza Fotografia Preto;active;808.31;10000;340,00;7,0%
